iso2,network_id,network_name,mcc,mnc,cc,prefix,live_coverage,rates
BE,32511,TELENET BVBA,206,5,32,3248,TRUE,0.000945
BE,32511,TELENET BVBA,206,5,32,324806,TRUE,0.000945
BE,32512,Telenet Group BVBA,206,20,32,32456,TRUE,0.000945
BE,32512,Telenet Group BVBA,206,20,32,32483,TRUE,0.000945
BE,32512,Telenet Group BVBA,206,20,32,32484,TRUE,0.000945
BE,32512,Telenet Group BVBA,206,20,32,32485,TRUE,0.000945
BE,32512,Telenet Group BVBA,206,20,32,32486,TRUE,0.000945
BE,32512,Telenet Group BVBA,206,20,32,32487,TRUE,0.000945
BE,32512,Telenet Group BVBA,206,20,32,32488,TRUE,0.000945
BE,32512,Telenet Group BVBA,206,20,32,32489,TRUE,0.000945
BE,32512,Telenet Group BVBA,206,20,32,32770002,TRUE,0.000945
BE,32515,Vectone Mobile Belgium SPRL,206,7,32,324665,TRUE,0.000945
BE,32515,Vectone Mobile Belgium SPRL,206,7,32,324666,TRUE,0.000945
BE,32515,Vectone Mobile Belgium SPRL,206,7,32,324667,TRUE,0.000945
BE,32559,Medialaan,206,30,32,324630,TRUE,0.000945
BF,226500,Orange Burkina Faso,613,2,226,22654,TRUE,0.000735
BF,226500,Orange Burkina Faso,613,2,226,22655,TRUE,0.000735
BF,226500,Orange Burkina Faso,613,2,226,22656,TRUE,0.000735
BF,226500,Orange Burkina Faso,613,2,226,22657,TRUE,0.000735
BF,226500,Orange Burkina Faso,613,2,226,22664,TRUE,0.000735
BF,226500,Orange Burkina Faso,613,2,226,22665,TRUE,0.000735
BF,226500,Orange Burkina Faso,613,2,226,22666,TRUE,0.000735
BF,226500,Orange Burkina Faso,613,2,226,22667,TRUE,0.000735
BF,226500,Orange Burkina Faso,613,2,226,22674,TRUE,0.000735
BF,226500,Orange Burkina Faso,613,2,226,22675,TRUE,0.000735
BF,226500,Orange Burkina Faso,613,2,226,22676,TRUE,0.000735
BF,226500,Orange Burkina Faso,613,2,226,22677,TRUE,0.000735
BF,226502,Onatel (Telmob/Moov),613,1,226,22651,TRUE,0.000735
BF,226502,Onatel (Telmob/Moov),613,1,226,22652,TRUE,0.000735
BF,226502,Onatel (Telmob/Moov),613,1,226,22653,TRUE,0.000735
BF,226502,Onatel (Telmob/Moov),613,1,226,22660,TRUE,0.000735
BF,226502,Onatel (Telmob/Moov),613,1,226,22661,TRUE,0.000735
BF,226502,Onatel (Telmob/Moov),613,1,226,22662,TRUE,0.000735
BF,226502,Onatel (Telmob/Moov),613,1,226,22663,TRUE,0.000735
BF,226502,Onatel (Telmob/Moov),613,1,226,22670,TRUE,0.000735
BF,226502,Onatel (Telmob/Moov),613,1,226,22671,TRUE,0.000735
BF,226502,Onatel (Telmob/Moov),613,1,226,22672,TRUE,0.000735
BF,226502,Onatel (Telmob/Moov),613,1,226,22673,TRUE,0.000735
BG,359500,A1 BULGARIA,284,1,359,35988,TRUE,0.0009135
BG,359500,A1 BULGARIA,284,1,359,35998,TRUE,0.0009135
BG,359500,A1 BULGARIA,284,1,359,359988,TRUE,0.0009135
BG,359500,A1 BULGARIA,284,1,359,359989,TRUE,0.0009135
BG,359501,Bulgarian Telecom Company (Vivacom),284,3,359,35987,TRUE,0.0009135
BG,359519,Telenor (Yettel Bulgaria),284,5,359,35943089,TRUE,0.0009135
BG,359519,Telenor (Yettel Bulgaria),284,5,359,35989,TRUE,0.0009135
BH,973500,Bahrain Telecom (BATELCO/BSC),426,1,973,97332,TRUE,0.000735
BH,973500,Bahrain Telecom (BATELCO/BSC),426,1,973,973322,TRUE,0.000735
BH,973500,Bahrain Telecom (BATELCO/BSC),426,1,973,973380,TRUE,0.000735
BH,973500,Bahrain Telecom (BATELCO/BSC),426,1,973,973381,TRUE,0.000735
BH,973500,Bahrain Telecom (BATELCO/BSC),426,1,973,973382,TRUE,0.000735
BH,973500,Bahrain Telecom (BATELCO/BSC),426,1,973,973383,TRUE,0.000735
BH,973500,Bahrain Telecom (BATELCO/BSC),426,1,973,973384,TRUE,0.000735
BH,973500,Bahrain Telecom (BATELCO/BSC),426,1,973,973385,TRUE,0.000735
BH,973500,Bahrain Telecom (BATELCO/BSC),426,1,973,973387,TRUE,0.000735
BH,973500,Bahrain Telecom (BATELCO/BSC),426,1,973,973388,TRUE,0.000735
BH,973500,Bahrain Telecom (BATELCO/BSC),426,1,973,973389,TRUE,0.000735
BH,973500,Bahrain Telecom (BATELCO/BSC),426,1,973,97339,TRUE,0.000735
BH,973501,Zain Bahrain B.S.C. Closed,426,2,973,97336,TRUE,0.000735
BH,973501,Zain Bahrain B.S.C. Closed,426,2,973,97337,TRUE,0.000735
BH,973501,Zain Bahrain B.S.C. Closed,426,2,973,973377,TRUE,0.000735
BH,973501,Zain Bahrain B.S.C. Closed,426,2,973,973663,TRUE,0.000735
BH,973501,Zain Bahrain B.S.C. Closed,426,2,973,9736630,TRUE,0.000735
BH,973501,Zain Bahrain B.S.C. Closed,426,2,973,9736631,TRUE,0.000735
BH,973501,Zain Bahrain B.S.C. Closed,426,2,973,9736632,TRUE,0.000735
BH,973501,Zain Bahrain B.S.C. Closed,426,2,973,9736633,TRUE,0.000735
BH,973501,Zain Bahrain B.S.C. Closed,426,2,973,9736634,TRUE,0.000735
BH,973501,Zain Bahrain B.S.C. Closed,426,2,973,9736635,TRUE,0.000735
